Date,Buy/Sell/Hold,Name,Bank Name
30.10.09,Hold,KLA-Tencor average,"Caris & Company, Inc."
26.10.09,Hold,KLA-Tencor buy,"Stifel, Nicolaus & Co., Inc."
14.10.09,Buy,KLA-Tencor overweight,Barclays Capital
09.10.09,Buy,KLA-Tencor neutral,Credit Suisse Group
09.10.09,Hold,KLA-Tencor kaufen,Der Aktionärsbrief
24.09.09,Buy,KLA-Tencor perform,Oppenheimer & Co. Inc.
28.07.09,Hold,KLA-Tencor kaufen,Nasd@q Inside
06.08.19,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
07.05.19,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
17.04.19,Hold,KLA-Tencor Hold,"Needham & Company, LLC"
07.03.19,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
30.01.19,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
30.10.18,Buy,KLA-Tencor Buy,B. Riley FBR
30.10.18,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
31.07.18,Buy,KLA-Tencor Buy,B. Riley FBR
31.07.18,Buy,KLA-Tencor Buy,"Stifel, Nicolaus & Co., Inc."
31.07.18,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
22.06.18,Hold,KLA-Tencor Hold,"Needham & Company, LLC"
27.04.18,Buy,KLA-Tencor Buy,"Stifel, Nicolaus & Co., Inc."
26.01.18,Buy,KLA-Tencor Buy,"Needham & Company, LLC"
26.01.18,Buy,KLA-Tencor Buy,"B. Riley FBR, Inc."
08.01.18,Buy,KLA-Tencor Buy,"Needham & Company, LLC"
25.10.17,Buy,KLA-Tencor Buy,"Stifel, Nicolaus & Co., Inc."
07.08.17,Buy,KLA-Tencor Buy,"Stifel, Nicolaus & Co., Inc."
19.06.17,Buy,KLA-Tencor Hold,"Stifel, Nicolaus & Co., Inc."
02.06.17,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
28.04.17,Buy,KLA-Tencor Strong Buy,"Needham & Company, LLC"
28.04.17,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
28.03.17,Buy,KLA-Tencor Hold,"Stifel, Nicolaus & Co., Inc."
27.01.17,Buy,KLA-Tencor Hold,"Stifel, Nicolaus & Co., Inc."
27.01.17,Buy,KLA-Tencor Strong Buy,"Needham & Company, LLC"
27.01.17,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
14.12.16,Buy,KLA-Tencor Strong Buy,"Needham & Company, LLC"
21.10.16,Buy,KLA-Tencor Buy,"Needham & Company, LLC"
21.10.16,Buy,KLA-Tencor Outperform,"Cowen and Company, LLC"
07.10.16,Buy,KLA-Tencor Buy,"Needham & Company, LLC"
27.04.16,Hold,KLA-Tencor Market Perform,"Cowen and Company, LLC"
22.10.15,Hold,KLA-Tencor Neutral,UBS AG
22.10.15,Hold,KLA-Tencor Hold,"Needham & Company, LLC"
22.10.15,Hold,KLA-Tencor Sector Perform,RBC Capital Markets
22.10.15,Hold,KLA-Tencor Market Perform,"Cowen and Company, LLC"
09.10.15,Buy,KLA-Tencor Buy,"Needham & Company, LLC"
31.07.15,Hold,KLA-Tencor Market Perform,"Cowen and Company, LLC"
31.07.15,Hold,KLA-Tencor Sector Perform,RBC Capital Markets
08.06.15,Buy,KLA-Tencor Buy,UBS AG
24.04.15,Hold,KLA-Tencor Sector Perform,RBC Capital Markets
24.04.15,Buy,KLA-Tencor Buy,"Needham & Company, LLC"
23.01.15,Hold,KLA-Tencor Market Perform,"Cowen and Company, LLC"
23.01.15,Hold,KLA-Tencor Sector Perform,RBC Capital Markets
01.12.14,Buy,KLA-Tencor Buy,"Needham & Company, LLC"
