Date,Buy/Sell/Hold,Name,Bank Name
17.08.18,Hold,Alphabet C (ex Google) Hold,Morningstar
17.08.18,Buy,Alphabet C (ex Google) Outperform,Oppenheimer & Co. Inc.
24.07.18,Buy,Alphabet C (ex Google) Outperform,Oppenheimer & Co. Inc.
24.07.18,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
24.07.18,Buy,Alphabet C (ex Google) buy,UBS AG
18.07.18,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
18.07.18,Buy,Alphabet C (ex Google) buy,UBS AG
01.06.18,Buy,Alphabet C (ex Google) overweight,Morgan Stanley
24.04.18,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
24.04.18,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
10.04.18,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
02.04.18,Buy,Alphabet C (ex Google) Hold,Pivotal Research Group
30.01.18,Buy,Alphabet C (ex Google) Buy,"Needham & Company, LLC"
29.01.18,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
11.01.18,Buy,Alphabet C (ex Google) buy,UBS AG
27.11.17,Buy,Alphabet C (ex Google) buy,UBS AG
27.10.17,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
27.10.17,Buy,Alphabet C (ex Google) buy,UBS AG
25.10.17,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
12.10.17,Buy,Alphabet C (ex Google) Hold,Pivotal Research Group
25.07.17,Buy,Alphabet C (ex Google) buy,"Needham & Company, LLC"
25.07.17,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
25.07.17,Buy,Alphabet C (ex Google) buy,UBS AG
12.06.17,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
24.05.17,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
28.04.17,Buy,Alphabet C (ex Google) Outperform,Oppenheimer & Co. Inc.
28.04.17,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
28.04.17,Buy,Alphabet C (ex Google) buy,UBS AG
28.04.17,Buy,Alphabet C (ex Google) buy,"Needham & Company, LLC"
07.04.17,Buy,Alphabet C (ex Google) Market Perform,BMO Capital Markets
31.03.17,Buy,Alphabet C (ex Google) Hold,Loop Capital
27.01.17,Buy,Alphabet C (ex Google) buy,UBS AG
27.01.17,Buy,Alphabet C (ex Google) kaufen,JP Morgan Chase & Co.
27.01.17,Buy,Alphabet C (ex Google) Conviction Buy List,Goldman Sachs Group Inc.
27.01.17,Buy,Alphabet C (ex Google) buy,"Needham & Company, LLC"
21.12.16,Buy,Alphabet C (ex Google) Buy,Aegis Capital
28.10.16,Buy,Alphabet C (ex Google) buy,"Needham & Company, LLC"
28.10.16,Buy,Alphabet C (ex Google) Hold,"Stifel, Nicolaus & Co., Inc."
05.10.16,Hold,Alphabet C (ex Google) buy,"Needham & Company, LLC"
12.07.16,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
22.04.16,Buy,Alphabet C (ex Google) Outperform,Robert W. Baird & Co. Incorporated
22.04.16,Buy,Alphabet C (ex Google) Outperform,Oppenheimer & Co. Inc.
22.04.16,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
22.04.16,Buy,Alphabet C (ex Google) Buy,"Needham & Company, LLC"
11.04.16,Buy,Alphabet C (ex Google) Buy,Pivotal Research Group
06.04.16,Hold,Alphabet C (ex Google) buy,UBS AG
04.04.16,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
24.03.16,Buy,Alphabet C (ex Google) buy,Jefferies & Company Inc.
21.03.16,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
02.02.16,Buy,Alphabet C (ex Google) buy,UBS AG
02.02.16,Hold,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
02.02.16,Buy,Alphabet C (ex Google) buy,Jefferies & Company Inc.
02.02.16,Buy,Alphabet C (ex Google) Outperform,Robert W. Baird & Co. Incorporated
02.02.16,Buy,Alphabet C (ex Google) Outperform,Oppenheimer & Co. Inc.
02.02.16,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
14.01.16,Buy,Alphabet C (ex Google) buy,UBS AG
21.12.15,Buy,Alphabet C (ex Google) Overweight,Pacific Crest Securities Inc.
15.12.15,Buy,Alphabet C (ex Google) Conviction Buy List,Goldman Sachs Group Inc.
23.10.15,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
23.10.15,Buy,Alphabet C (ex Google) buy,Jefferies & Company Inc.
23.10.15,Buy,Alphabet C (ex Google) kaufen,Oppenheimer & Co. Inc.
12.01.23,Buy,Alphabet C (ex Google) Buy,UBS AG
26.10.22,Buy,Alphabet C (ex Google) Overweight,JP Morgan Chase & Co.
27.07.22,Buy,Alphabet C (ex Google) Overweight,JP Morgan Chase & Co.
21.07.22,Buy,Alphabet C (ex Google) Overweight,JP Morgan Chase & Co.
29.06.22,Buy,Alphabet C (ex Google) Overweight,JP Morgan Chase & Co.
27.04.22,Buy,Alphabet C (ex Google) Overweight,JP Morgan Chase & Co.
11.04.22,Buy,Alphabet C (ex Google) Buy,UBS AG
02.02.22,Buy,Alphabet C (ex Google) Buy,UBS AG
25.01.22,Buy,Alphabet C (ex Google) Buy,UBS AG
28.07.21,Buy,Alphabet C (ex Google) Buy,UBS AG
28.04.21,Buy,Alphabet C (ex Google) buy,UBS AG
28.04.21,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
30.10.20,Buy,Alphabet C (ex Google) buy,UBS AG
29.09.20,Buy,Alphabet C (ex Google) buy,Jefferies & Company Inc.
25.08.20,Buy,Alphabet C (ex Google) buy,UBS AG
18.03.20,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
04.02.20,Buy,Alphabet C (ex Google) kaufen,DZ BANK
04.02.20,Buy,Alphabet C (ex Google) buy,UBS AG
04.11.19,Buy,Alphabet C (ex Google) buy,UBS AG
29.10.19,Buy,Alphabet C (ex Google) buy,UBS AG
29.10.19,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
29.10.19,Buy,Alphabet C (ex Google) buy,UBS AG
29.10.19,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
03.10.19,Buy,Alphabet C (ex Google) kaufen,Deutsche Bank AG
06.08.19,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
26.07.19,Buy,Alphabet C (ex Google) buy,UBS AG
26.07.19,Buy,Alphabet C (ex Google) Buy,The Benchmark Company
29.05.19,Hold,Alphabet C (ex Google) Hold,Pivotal Research Group
15.05.19,Buy,Alphabet C (ex Google) buy,UBS AG
15.05.19,Buy,Alphabet C (ex Google) Buy,Deutsche Bank AG
30.04.19,Buy,Alphabet C (ex Google) buy,UBS AG
30.04.19,Buy,Alphabet C (ex Google) buy,Deutsche Bank AG
05.02.19,Buy,Alphabet C (ex Google) buy,UBS AG
14.01.19,Buy,Alphabet C (ex Google) buy,UBS AG
26.10.18,Hold,Alphabet C (ex Google) Hold,Canaccord Adams
26.10.18,Buy,Alphabet C (ex Google) kaufen,JP Morgan Chase & Co.
25.10.18,Buy,Alphabet C (ex Google) buy,Morningstar
23.10.18,Buy,Alphabet C (ex Google) kaufen,Deutsche Bank AG
22.10.18,Buy,Alphabet C (ex Google) overweight,JP Morgan Chase & Co.
17.08.18,Hold,Alphabet C (ex Google) Hold,Morningstar
17.08.18,Buy,Alphabet C (ex Google) Outperform,Oppenheimer & Co. Inc.
24.07.18,Buy,Alphabet C (ex Google) Outperform,Oppenheimer & Co. Inc.
