Date,Buy/Sell/Hold,Name,Bank Name
16.03.11,Buy,PepsiCo buy,UBS AG
18.02.11,Buy,PepsiCo neutral,Credit Suisse Group
14.02.11,Buy,PepsiCo buy,UBS AG
14.02.11,Hold,PepsiCo overweight,Barclays Capital
11.02.11,Hold,PepsiCo neutral,Davenport & Company LLC
11.02.11,Sell,PepsiCo buy,"Stifel, Nicolaus & Co., Inc."
08.02.11,Hold,PepsiCo outperform,Credit Suisse Group
01.02.11,Buy,PepsiCo overweight,Barclays Capital
21.12.10,Hold,PepsiCo buy,"Stifel, Nicolaus & Co., Inc."
01.11.10,Buy,PepsiCo outperform,Credit Suisse Group
19.10.10,Hold,PepsiCo hold,Citigroup Corp.
11.10.10,Buy,PepsiCo overweight,Barclays Capital
08.10.10,Buy,PepsiCo outperform,Credit Suisse Group
07.10.10,Buy,PepsiCo buy,UBS AG
22.07.10,Buy,PepsiCo outperform,Credit Suisse Group
22.07.10,Buy,PepsiCo overweight,Barclays Capital
30.06.10,Buy,PepsiCo kaufen,Goldman Sachs Group Inc.
25.06.10,Buy,PepsiCo kaufen,Credit Suisse Group
17.06.10,Buy,PepsiCo kaufen,Credit Suisse Group
08.06.10,Buy,PepsiCo kaufen,Credit Suisse Group
21.04.10,Buy,PepsiCo kaufen,Credit Suisse Group
24.03.10,Buy,PepsiCo kaufen,Goldman Sachs Group Inc.
29.01.10,Buy,PepsiCo kaufen,boerse.de-Aktienbrief
18.12.09,Buy,PepsiCo outperform,Credit Suisse Group
30.10.09,Buy,PepsiCo outperform,Credit Suisse Group
06.10.09,Buy,PepsiCo outperform,Credit Suisse Group
01.10.09,Hold,PepsiCo outperform,Credit Suisse Group
25.09.09,Hold,PepsiCo,boerse.de-Aktienbrief
21.09.09,Hold,PepsiCo outperform,Credit Suisse Group
17.09.09,Hold,PepsiCo hold,"Stifel, Nicolaus & Co., Inc."
10.08.09,Hold,PepsiCo outperform,Credit Suisse Group
06.08.09,Hold,PepsiCo buy,UBS AG
24.07.09,Buy,PepsiCo outperform,Credit Suisse Group
09.07.09,Hold,PepsiCo underweight,Barclays Capital
09.07.09,Buy,PepsiCo overweight,Barclays Capital
29.06.09,Hold,PepsiCo buy,"Stifel, Nicolaus & Co., Inc."
03.06.09,Buy,PepsiCo neutral,Credit Suisse Group
03.06.09,Buy,PepsiCo buy,UBS AG
30.04.09,Hold,PepsiCo neutral,UBS AG
22.04.09,Buy,PepsiCo buy,Janney Montgomery Scott
21.04.09,Hold,PepsiCo,McAdams Wright Ragen Inc.
21.04.09,Hold,PepsiCo hold,"Stifel, Nicolaus & Co., Inc."
08.04.09,Hold,PepsiCo buy,UBS AG
25.03.09,Buy,PepsiCo buy,UBS AG
23.03.09,Buy,PepsiCo kaufen,Euro am Sonntag
09.03.09,Buy,PepsiCo outperform,Credit Suisse Group
18.02.09,Buy,PepsiCo buy,Citigroup Corp.
18.02.09,Buy,PepsiCo buy,Davenport & Company LLC
06.02.09,Buy,PepsiCo neutral,UBS AG
27.01.09,Buy,PepsiCo outperform,Credit Suisse Group
30.03.22,Buy,PepsiCo Overweight,JP Morgan Chase & Co.
26.03.20,Buy,PepsiCo kaufen,DZ BANK
03.10.19,Buy,PepsiCo overweight,JP Morgan Chase & Co.
18.04.19,Hold,PepsiCo Neutral,Goldman Sachs Group Inc.
18.04.19,Hold,PepsiCo Sector Perform,RBC Capital Markets
20.08.18,Sell,PepsiCo Kauf,Goldman Sachs Group Inc.
03.07.18,Hold,PepsiCo Hold,Deutsche Bank AG
14.12.17,Buy,PepsiCo Buy,Deutsche Bank AG
05.10.17,Hold,PepsiCo Sector Perform,RBC Capital Markets
09.06.17,Buy,PepsiCo Market Perform,BMO Capital Markets
09.01.17,Hold,PepsiCo Equal weight,Barclays Capital
08.07.16,Buy,PepsiCo Buy,Deutsche Bank AG
08.07.16,Buy,PepsiCo Buy,UBS AG
19.04.16,Buy,PepsiCo Buy,UBS AG
14.04.16,Buy,PepsiCo Hold,"Stifel, Nicolaus & Co., Inc."
23.03.16,Buy,PepsiCo Buy,UBS AG
07.10.15,Buy,PepsiCo Buy,UBS AG
07.10.15,Buy,PepsiCo Buy,"Stifel, Nicolaus & Co., Inc."
10.07.15,Buy,PepsiCo Buy,"Stifel, Nicolaus & Co., Inc."
19.02.15,Buy,PepsiCo Buy,Argus Research Company
12.02.15,Buy,PepsiCo overweight,Barclays Capital
20.01.15,Buy,PepsiCo Buy,"Stifel, Nicolaus & Co., Inc."
09.01.15,Buy,PepsiCo Buy,"Stifel, Nicolaus & Co., Inc."
26.11.14,Buy,PepsiCo Buy,UBS AG
21.11.12,Buy,PepsiCo outperform,"Sanford C. Bernstein and Co., Inc."
19.10.12,Buy,PepsiCo overweight,JP Morgan Chase & Co.
18.10.12,Hold,PepsiCo neutral,UBS AG
18.10.12,Hold,PepsiCo neutral,Sarasin Research
27.09.12,Hold,PepsiCo neutral,UBS AG
26.07.12,Hold,PepsiCo neutral,Citigroup Corp.
11.07.12,Hold,PepsiCo neutral,Sarasin Research
13.02.12,Hold,PepsiCo neutral,UBS AG
08.02.12,Buy,PepsiCo buy,Deutsche Bank Securities
11.01.12,Hold,PepsiCo neutral,UBS AG
22.12.11,Buy,PepsiCo buy,Banc of America Securities-Merrill Lynch
21.11.11,Hold,PepsiCo hold,Jefferies & Company Inc.
17.11.11,Buy,PepsiCo buy,UBS AG
14.10.11,Buy,PepsiCo overweight,Barclays Capital
14.10.11,Hold,PepsiCo neutral,Goldman Sachs Group Inc.
13.10.11,Buy,PepsiCo buy,UBS AG
07.10.11,Hold,PepsiCo neutral,Goldman Sachs Group Inc.
23.09.11,Hold,PepsiCo hold,"Stifel, Nicolaus & Co., Inc."
07.09.11,Hold,PepsiCo equal-weight,Morgan Stanley
25.07.11,Buy,PepsiCo overweight,Barclays Capital
22.07.11,Buy,PepsiCo buy,"Stifel, Nicolaus & Co., Inc."
22.07.11,Buy,PepsiCo buy,UBS AG
25.05.11,Buy,PepsiCo buy,UBS AG
09.05.11,Buy,PepsiCo outperform,Credit Suisse Group
02.05.11,Buy,PepsiCo overweight,Barclays Capital
29.04.11,Buy,PepsiCo buy,"Stifel, Nicolaus & Co., Inc."
16.03.11,Buy,PepsiCo buy,UBS AG
18.02.11,Buy,PepsiCo neutral,Credit Suisse Group
14.02.11,Buy,PepsiCo buy,UBS AG
14.02.11,Hold,PepsiCo overweight,Barclays Capital
11.02.11,Hold,PepsiCo neutral,Davenport & Company LLC
11.02.11,Sell,PepsiCo buy,"Stifel, Nicolaus & Co., Inc."
08.02.11,Hold,PepsiCo outperform,Credit Suisse Group
01.02.11,Buy,PepsiCo overweight,Barclays Capital
21.12.10,Hold,PepsiCo buy,"Stifel, Nicolaus & Co., Inc."
01.11.10,Buy,PepsiCo outperform,Credit Suisse Group
19.10.10,Hold,PepsiCo hold,Citigroup Corp.
11.10.10,Buy,PepsiCo overweight,Barclays Capital
08.10.10,Buy,PepsiCo outperform,Credit Suisse Group
07.10.10,Buy,PepsiCo buy,UBS AG
22.07.10,Buy,PepsiCo outperform,Credit Suisse Group
22.07.10,Buy,PepsiCo overweight,Barclays Capital
30.06.10,Buy,PepsiCo kaufen,Goldman Sachs Group Inc.
25.06.10,Buy,PepsiCo kaufen,Credit Suisse Group
17.06.10,Buy,PepsiCo kaufen,Credit Suisse Group
08.06.10,Buy,PepsiCo kaufen,Credit Suisse Group
21.04.10,Buy,PepsiCo kaufen,Credit Suisse Group
24.03.10,Buy,PepsiCo kaufen,Goldman Sachs Group Inc.
29.01.10,Buy,PepsiCo kaufen,boerse.de-Aktienbrief
18.12.09,Buy,PepsiCo outperform,Credit Suisse Group
30.10.09,Buy,PepsiCo outperform,Credit Suisse Group
06.10.09,Buy,PepsiCo outperform,Credit Suisse Group
01.10.09,Hold,PepsiCo outperform,Credit Suisse Group
25.09.09,Hold,PepsiCo,boerse.de-Aktienbrief
21.09.09,Hold,PepsiCo outperform,Credit Suisse Group
17.09.09,Hold,PepsiCo hold,"Stifel, Nicolaus & Co., Inc."
10.08.09,Hold,PepsiCo outperform,Credit Suisse Group
06.08.09,Hold,PepsiCo buy,UBS AG
24.07.09,Buy,PepsiCo outperform,Credit Suisse Group
09.07.09,Hold,PepsiCo underweight,Barclays Capital
09.07.09,Buy,PepsiCo overweight,Barclays Capital
29.06.09,Hold,PepsiCo buy,"Stifel, Nicolaus & Co., Inc."
03.06.09,Buy,PepsiCo neutral,Credit Suisse Group
03.06.09,Buy,PepsiCo buy,UBS AG
30.04.09,Hold,PepsiCo neutral,UBS AG
22.04.09,Buy,PepsiCo buy,Janney Montgomery Scott
21.04.09,Hold,PepsiCo,McAdams Wright Ragen Inc.
21.04.09,Hold,PepsiCo hold,"Stifel, Nicolaus & Co., Inc."
08.04.09,Hold,PepsiCo buy,UBS AG
25.03.09,Buy,PepsiCo buy,UBS AG
23.03.09,Buy,PepsiCo kaufen,Euro am Sonntag
09.03.09,Buy,PepsiCo outperform,Credit Suisse Group
18.02.09,Buy,PepsiCo buy,Citigroup Corp.
18.02.09,Buy,PepsiCo buy,Davenport & Company LLC
06.02.09,Buy,PepsiCo neutral,UBS AG
27.01.09,Buy,PepsiCo outperform,Credit Suisse Group
18.11.08,Buy,PepsiCo neutral,UBS AG
13.11.08,Buy,PepsiCo halten,Wertpapier
16.10.08,Buy,PepsiCo outperform,Credit Suisse Group
25.07.08,Hold,PepsiCo neutral,Goldman Sachs Group Inc.
