Date,Buy/Sell/Hold,Name,Bank Name
22.02.19,Hold,Microchip Technology Market Perform,"Cowen and Company, LLC"
06.02.19,Buy,Microchip Technology Buy,"Needham & Company, LLC"
16.11.18,Buy,Microchip Technology Outperform,BMO Capital Markets
08.11.18,Buy,Microchip Technology Buy,B. Riley FBR
13.08.18,Buy,Microchip Technology Strong Buy,"Needham & Company, LLC"
05.03.18,Buy,Microchip Technology Buy,Mizuho
02.03.18,Buy,Microchip Technology Buy,"B. Riley FBR, Inc."
07.11.17,Buy,Microchip Technology Buy,"Stifel, Nicolaus & Co., Inc."
07.11.17,Buy,Microchip Technology Strong Buy,"Needham & Company, LLC"
08.02.17,Buy,Microchip Technology Strong Buy,"Needham & Company, LLC"
08.02.17,Hold,Microchip Technology Neutral,Mizuho
30.11.16,Buy,Microchip Technology Buy,"Stifel, Nicolaus & Co., Inc."
08.11.16,Buy,Microchip Technology Buy,"Needham & Company, LLC"
30.09.16,Hold,Microchip Technology Neutral,Mizuho
05.05.16,Buy,Microchip Technology Buy,"Stifel, Nicolaus & Co., Inc."
15.01.16,Buy,Microchip Technology Buy,"Needham & Company, LLC"
29.10.15,Buy,Microchip Technology Buy,Topeka Capital Markets
22.09.15,Hold,Microchip Technology Hold,Canaccord Adams
22.09.15,Hold,Microchip Technology Hold,"Needham & Company, LLC"
21.09.15,Hold,Microchip Technology Hold,Topeka Capital Markets
21.09.15,Hold,Microchip Technology Mkt Perform,FBR Capital
04.08.15,Buy,Microchip Technology Buy,"Stifel, Nicolaus & Co., Inc."
29.07.15,Hold,Microchip Technology Neutral,Dougherty & Company LLC
29.07.15,Buy,Microchip Technology Buy,Topeka Capital Markets
09.06.15,Buy,Microchip Technology Outperform,FBR Capital
05.02.15,Buy,Microchip Technology Buy,Topeka Capital Markets
31.10.14,Buy,Microchip Technology Outperform,FBR Capital
30.10.14,Buy,Microchip Technology Outperform,Imperial Capital
30.10.14,Buy,Microchip Technology Buy,Topeka Capital Markets
10.10.14,Hold,Microchip Technology Hold,"Needham & Company, LLC"
19.12.12,Hold,Microchip Technology neutral,Nomura
07.12.12,Buy,Microchip Technology buy,"Needham & Company, LLC"
05.11.12,Hold,Microchip Technology neutral,Nomura
02.11.12,Hold,Microchip Technology neutral,UBS AG
25.10.12,Hold,Microchip Technology neutral,Nomura
16.10.12,Buy,Microchip Technology buy,UBS AG
25.09.12,Hold,Microchip Technology neutral,UBS AG
08.08.12,Hold,Microchip Technology neutral,Goldman Sachs Group Inc.
02.08.12,Buy,Microchip Technology buy,Nomura
01.08.12,Buy,Microchip Technology buy,UBS AG
04.05.12,Buy,Microchip Technology buy,Nomura
04.05.12,Buy,Microchip Technology overweight,Barclays Capital
13.04.12,Buy,Microchip Technology overweight,Barclays Capital
23.03.12,Buy,Microchip Technology buy,Nomura
10.02.12,Buy,Microchip Technology overweight,Barclays Capital
06.02.12,Hold,Microchip Technology equal-weight,Barclays Capital
06.02.12,Buy,Microchip Technology overweight,Barclays Capital
03.02.12,Buy,Microchip Technology buy,"Stifel, Nicolaus & Co., Inc."
24.01.12,Hold,Microchip Technology hold,"Needham & Company, LLC"
04.01.12,Hold,Microchip Technology equal-weight,Barclays Capital
07.11.11,Hold,Microchip Technology neutral,Citigroup Corp.
03.11.11,Buy,Microchip Technology overweight,Barclays Capital
03.11.11,Buy,Microchip Technology outperform,"Raymond James Financial, Inc."
02.11.11,Buy,Microchip Technology buy,"Needham & Company, LLC"
17.10.11,Buy,Microchip Technology overweight,Barclays Capital
03.10.11,Buy,Microchip Technology strong buy,"Needham & Company, LLC"
13.09.11,Buy,Microchip Technology buy,UBS AG
08.08.11,Buy,Microchip Technology hold,Citigroup Corp.
05.08.11,Buy,Microchip Technology neutral,UBS AG
05.08.11,Buy,Microchip Technology overweight,Barclays Capital
04.08.11,Hold,Microchip Technology buy,UBS AG
14.07.11,Buy,Microchip Technology hold,Citigroup Corp.
13.07.11,Buy,Microchip Technology overweight,Barclays Capital
12.07.11,Hold,Microchip Technology buy,"Stifel, Nicolaus & Co., Inc."
12.07.11,Buy,Microchip Technology neutral,UBS AG
13.05.11,Buy,Microchip Technology kaufen,Nasd@q Inside
09.05.11,Buy,Microchip Technology overweight,Barclays Capital
09.05.11,Hold,Microchip Technology outperform,Credit Suisse Group
06.05.11,Hold,Microchip Technology neutral,Goldman Sachs Group Inc.
05.05.11,Hold,Microchip Technology buy,UBS AG
11.03.11,Hold,Microchip Technology outperform,"Raymond James Financial, Inc."
10.02.11,Buy,Microchip Technology neutral,Goldman Sachs Group Inc.
09.02.11,Hold,Microchip Technology outperform,Wedbush Morgan Securities Inc.
09.02.11,Buy,Microchip Technology buy,UBS AG
31.01.11,Buy,Microchip Technology overweight,Barclays Capital
19.01.11,Buy,Microchip Technology buy,UBS AG
19.01.11,Buy,Microchip Technology neutral,UBS AG
06.01.11,Buy,Microchip Technology outperform,Wedbush Morgan Securities Inc.
22.12.10,Buy,Microchip Technology outperform,"Raymond James Financial, Inc."
02.12.10,Hold,Microchip Technology overweight,Barclays Capital
05.11.10,Hold,Microchip Technology buy,UBS AG
11.10.10,Buy,Microchip Technology buy,"Needham & Company, LLC"
06.10.10,Hold,Microchip Technology sector perform,Pacific Crest Securities Inc.
05.10.10,Hold,Microchip Technology buy,UBS AG
05.10.10,Hold,Microchip Technology buy,UBS AG
21.09.10,Buy,Microchip Technology strong buy,"Raymond James Financial, Inc."
09.08.10,Hold,Microchip Technology hold,Citigroup Corp.
06.08.10,Hold,Microchip Technology outperform,Credit Suisse Group
06.08.10,Buy,Microchip Technology buy,UBS AG
06.05.10,Buy,Microchip Technology kaufen,Credit Suisse Group
