Date,Buy/Sell/Hold,Name,Bank Name
15.02.18,Buy,Honeywell overweight,Barclays Capital
03.01.18,Hold,Honeywell Sector Perform,RBC Capital Markets
14.12.17,Buy,Honeywell Buy,"Stifel, Nicolaus & Co., Inc."
23.10.17,Buy,Honeywell Outperform,RBC Capital Markets
24.07.17,Buy,Honeywell Outperform,RBC Capital Markets
24.04.17,Buy,Honeywell Outperform,RBC Capital Markets
10.10.16,Buy,Honeywell Outperform,RBC Capital Markets
06.10.16,Buy,Honeywell Outperform,Robert W. Baird & Co. Incorporated
25.04.16,Buy,Honeywell Buy,"Stifel, Nicolaus & Co., Inc."
25.04.16,Buy,Honeywell Outperform,RBC Capital Markets
18.04.16,Buy,Honeywell overweight,Barclays Capital
17.12.15,Buy,Honeywell Outperform,Oppenheimer & Co. Inc.
16.11.15,Buy,Honeywell overweight,Barclays Capital
20.10.15,Buy,Honeywell Buy,Argus Research Company
19.10.15,Buy,Honeywell Outperform,RBC Capital Markets
29.07.15,Buy,Honeywell overweight,Barclays Capital
21.07.15,Buy,Honeywell Buy,Argus Research Company
20.07.15,Buy,Honeywell Buy,"Stifel, Nicolaus & Co., Inc."
20.07.15,Buy,Honeywell Outperform,RBC Capital Markets
15.05.15,Buy,Honeywell Outperform,"Cowen and Company, LLC"
27.01.15,Buy,Honeywell Buy,Argus Research Company
22.01.15,Hold,Honeywell Neutral,UBS AG
16.12.14,Buy,Honeywell Buy,"Stifel, Nicolaus & Co., Inc."
25.11.14,Buy,Honeywell Outperform,RBC Capital Markets
17.09.14,Buy,Honeywell Buy,"Stifel, Nicolaus & Co., Inc."
17.12.12,Buy,Honeywell overweight,Morgan Stanley
11.12.12,Buy,Honeywell buy,Nomura
05.12.12,Buy,Honeywell buy,"Stifel, Nicolaus & Co., Inc."
21.11.12,Buy,Honeywell buy,Nomura
21.11.12,Buy,Honeywell outperform,RBC Capital Markets
23.10.12,Buy,Honeywell buy,Nomura
22.10.12,Buy,Honeywell outperform,Oppenheimer & Co. Inc.
22.10.12,Buy,Honeywell outperform,RBC Capital Markets
12.10.12,Buy,Honeywell overweight,Morgan Stanley
03.10.12,Buy,Honeywell buy,Nomura
07.09.12,Buy,Honeywell buy,Nomura
06.08.12,Buy,Honeywell buy,Nomura
20.07.12,Buy,Honeywell buy,Nomura
20.07.12,Buy,Honeywell outperform,RBC Capital Markets
19.07.12,Hold,Honeywell neutral,UBS AG
09.07.12,Hold,Honeywell neutral,UBS AG
24.04.12,Buy,Honeywell overweight,Barclays Capital
23.04.12,Hold,Honeywell neutral,UBS AG
09.03.12,Buy,Honeywell outperform,RBC Capital Markets
31.01.12,Buy,Honeywell buy,Nomura
30.01.12,Buy,Honeywell outperform,Oppenheimer & Co. Inc.
30.01.12,Hold,Honeywell neutral,UBS AG
17.01.12,Hold,Honeywell neutral,UBS AG
04.01.12,Buy,Honeywell buy,Nomura
19.12.11,Hold,Honeywell buy,Nomura
19.12.11,Buy,Honeywell overweight,Barclays Capital
16.12.11,Hold,Honeywell neutral,UBS AG
14.12.11,Buy,Honeywell overweight,Barclays Capital
13.12.11,Buy,Honeywell buy,Nomura
09.11.11,Buy,Honeywell buy,Citigroup Corp.
25.10.11,Buy,Honeywell neutral,Citigroup Corp.
24.10.11,Buy,Honeywell buy,Nomura
03.10.11,Buy,Honeywell neutral,UBS AG
13.09.11,Buy,Honeywell outperform,RBC Capital Markets
08.09.11,Buy,Honeywell neutral,UBS AG
26.07.11,Buy,Honeywell overweight,Barclays Capital
25.07.11,Buy,Honeywell outperform,RBC Capital Markets
26.04.11,Buy,Honeywell neutral,Credit Suisse Group
21.04.11,Buy,Honeywell neutral,Credit Suisse Group
29.03.11,Buy,Honeywell overweight,Morgan Stanley
10.03.11,Buy,Honeywell neutral,Credit Suisse Group
01.02.11,Buy,Honeywell overweight,Barclays Capital
31.01.11,Buy,Honeywell outperform,RBC Capital Markets
31.01.11,Buy,Honeywell outperform,Oppenheimer & Co. Inc.
19.01.11,Buy,Honeywell overweight,Barclays Capital
24.11.10,Buy,Honeywell overweight,Barclays Capital
22.11.10,Hold,Honeywell neutral,Credit Suisse Group
17.11.10,Buy,Honeywell neutral,Credit Suisse Group
17.11.10,Buy,Honeywell outperform,RBC Capital Markets
26.10.10,Buy,Honeywell overweight,Barclays Capital
